MM #,m_rad [arcsec],m_azi [arcsec],sigma_rad [arcsec],sigma_azi [arcsec],distribution,alpha_rad,alpha_azi,Unnamed: 8.1,Unnamed: 9.1,Standard MM_PSF distributions,sigma_rad_,sigma_azi_,alpha_rad_,alpha_azi_,Unnamed: 15.1,Unnamed: 16.1,Unnamed: 8,Unnamed: 9,Unnamed: 15,Unnamed: 16,m_rad,m_azi,sigma_rad,sigma_azi,weight,theta_degrees,theta_position,mux,muy,sigmax,sigmay
247,0,0,3.788139376350005,4.170093465783724,gaussian,0.7332221696540454,0.2571943386212579,,,,,,,,,,,,,,2.22298184691719e-06,3.24511433686358e-05,5e-08,5e-08,0.0024684620533333332,-68.38307132648282,-68.38307132648282,4.1941507561985616e-05,-7.465112592420355e-05,5e-08,5e-08
248,0,0,3.059603997869909,1.171575603972838,gaussian,0.8088829248311445,0.2952645595944558,,,,,,,,,,,,,,8.267771477603928e-06,0.00010532632317508346,5e-08,5e-08,0.0024684620533333332,-76.76614265296564,-76.76614265296564,0.00011005665638652576,-4.979123217142136e-05,5e-08,5e-08
249,0,0,2.413177489126114,2.734590748580907,gaussian,0.8625232905807133,0.3070085649787699,,,,,,,,,,,,,,5.301281447426308e-06,1.573859566052584e-05,5e-08,5e-08,0.0024684620533333332,-85.14921397944846,-85.14921397944846,1.0691032483352356e-05,7.31743817076211e-05,5e-08,5e-08
250,0,0,3.526477534362353,2.219127675943799,gaussian,0.7774081412198669,0.3225599246945432,,,,,,,,,,,,,,4.8753710375466046e-06,-4.800086622491038e-05,5e-08,5e-08,0.0022760520066666665,-34.28152423692812,-34.28152423692812,-2.02282123617334e-05,-4.6786747330093136e-05,5e-08,5e-08
251,0,0,2.060963534657056,4.027570852839176,gaussian,0.6824578085457004,0.3386126343161021,,,,,,,,,,,,,,6.786243531961609e-07,-4.967836523283899e-05,5e-08,5e-08,0.0022760520066666665,-41.62966016923437,-41.62966016923437,-3.808580421760753e-05,-4.7512734440199495e-05,5e-08,5e-08
252,0,0,0.7696941591084626,1.684047814369724,gaussian,0.5784027279307729,0.2495231981041171,,,,,,,,,,,,,,-1.8962173774521688e-06,-9.616948499561326e-05,5e-08,5e-08,0.0022760520066666665,-48.97779610154063,-48.97779610154063,-0.00012839786156963737,-3.422491878056515e-05,5e-08,5e-08
253,0,0,2.887630270428996,4.330015143115228,gaussian,0.713084585774685,0.2929197463778469,,,,,,,,,,,,,,1.971064119795209e-06,1.6688766592176707e-05,5e-08,5e-08,0.0022760520066666665,-56.32593203384687,-56.32593203384687,-2.3754146555425947e-05,1.4634084626905997e-05,5e-08,5e-08
254,0,0,1.733150622600137,5.232901677266522,gaussian,0.6941104213916899,0.3208159461604117,,,,,,,,,,,,,,7.399762270880296e-06,4.478326771484059e-05,5e-08,5e-08,0.0022760520066666665,-63.67406796615313,-63.67406796615313,8.099898461213263e-05,-0.00012701739042555568,5e-08,5e-08
255,0,0,7.398546535859865,2.219808215113308,gaussian,0.8843962908689844,0.3069328279281213,,,,,,,,,,,,,,-5.478581063300016e-06,7.591758323996029e-05,5e-08,5e-08,0.0022760520066666665,-71.0222038984594,-71.0222038984594,4.066612651071369e-05,4.28056713238166e-05,5e-08,5e-08
256,0,0,2.420978366995595,0.4439292443256714,gaussian,0.5757768079664805,0.3099437047300403,,,,,,,,,,,,,,-2.197212857877022e-08,0.00011611049601327632,5e-08,5e-08,0.0022760520066666665,-78.37033983076566,-78.37033983076566,8.489147544319139e-05,0.00010830552297709972,5e-08,5e-08
257,0,0,5.301131745496815,2.062672090114579,gaussian,0.7079637109283543,0.2936878186580649,,,,,,,,,,,,,,-3.062481363384701e-06,2.7661944942602395e-05,5e-08,5e-08,0.0022760520066666665,-85.71847576307192,-85.71847576307192,1.9947759935069642e-05,7.83766398946631e-05,5e-08,5e-08
258,0,0,4.665331569745743,1.320245814860804,gaussian,0.8759599220564116,0.3029904628006163,,,,,,,,,,,,,,-3.8022182196207806e-06,-8.030913511475412e-05,5e-08,5e-08,0.0024343357733333337,-34.24280918109818,-34.24280918109818,-6.425290933371082e-05,-6.016109796177962e-05,5e-08,5e-08
259,0,0,1.4483912014923,1.713025835411487,gaussian,0.6407433013687484,0.2406197056481517,,,,,,,,,,,,,,1.1115984873495339e-06,-4.354627196725083e-05,5e-08,5e-08,0.0024343357733333337,-41.60200655792727,-41.60200655792727,-3.102154210492013e-05,-5.13067998399659e-05,5e-08,5e-08
260,0,0,7.691324941803827,1.471698828884739,gaussian,0.7113808806695251,0.2984501651617109,,,,,,,,,,,,,,-1.9508033744402337e-06,-9.225769941849723e-05,5e-08,5e-08,0.0024343357733333337,-48.961203934756384,-48.961203934756384,-0.00012792140006832018,-3.4578709410783386e-05,5e-08,5e-08
261,0,0,1.297002518452397,6.580513085937307,gaussian,0.7917610775062093,0.2580952270120438,,,,,,,,,,,,,,1.2210941770635798e-06,-3.8029995465949416e-05,5e-08,5e-08,0.0024343357733333337,-56.32040131158544,-56.32040131158544,-0.00011166397497984654,4.114025589076851e-05,5e-08,5e-08
262,0,0,3.580483104195133,4.260333897828069,gaussian,0.7089788893037682,0.2911806230929137,,,,,,,,,,,,,,5.5878539978340735e-06,1.0851151824404816e-05,5e-08,5e-08,0.0024343357733333337,-63.67959868841456,-63.67959868841456,-6.332863910487796e-05,8.034480635758964e-05,5e-08,5e-08
263,0,0,4.629921174083291,4.534065438168123,gaussian,0.7226601965934932,0.2514924641337018,,,,,,,,,,,,,,-1.3067400682370148e-06,4.930708797292114e-05,5e-08,5e-08,0.0024343357733333337,-71.03879606524362,-71.03879606524362,1.1195230188826195e-05,3.588700516680339e-05,5e-08,5e-08
264,0,0,2.534734192607541,3.855165560422276,gaussian,0.8441779106558678,0.2506342553644715,,,,,,,,,,,,,,6.899189511571334e-07,8.408124695395027e-05,5e-08,5e-08,0.0024343357733333337,-78.39799344207273,-78.39799344207273,7.793999327305636e-05,-3.742820854629469e-05,5e-08,5e-08
265,0,0,6.329887880206956,4.592543539353613,gaussian,0.741844749630788,0.3053252984634672,,,,,,,,,,,,,,4.270821487370282e-06,1.9845030595913617e-05,5e-08,5e-08,0.0024343357733333337,-85.75719081890185,-85.75719081890185,1.7646335530476528e-05,-4.373586569751324e-05,5e-08,5e-08
266,0,0,3.896923740900962,6.186138657572642,gaussian,0.6301505992447933,0.2866160411344245,,,,,,,,,,,,,,-8.818561790326421e-06,1.6136137864226392e-05,5e-08,5e-08,0.0025734775266666667,-34.20935308787719,-34.20935308787719,-3.288498490821751e-05,3.515086648385312e-05,5e-08,5e-08
267,0,0,0.6587664008230412,2.453039391469515,gaussian,0.6951086721838067,0.3154617781067335,,,,,,,,,,,,,,4.566552215314667e-06,-0.00011146575474455542,5e-08,5e-08,0.0025734775266666667,-41.578109348483736,-41.578109348483736,-1.6887079064245076e-05,-0.0001544077366140237,5e-08,5e-08
268,0,0,3.011029257189252,3.227822387469698,gaussian,0.7601864567916892,0.3179353606413652,,,,,,,,,,,,,,-2.053680295453807e-06,-6.269790191279633e-05,5e-08,5e-08,0.0025734775266666667,-48.946865609090224,-48.946865609090224,-7.533984436598763e-05,-5.2339228995741126e-05,5e-08,5e-08
269,0,0,6.607189757512527,3.929079931631175,gaussian,0.7855158201682515,0.2784544516520829,,,,,,,,,,,,,,4.255574047782869e-06,5.861251566389353e-05,5e-08,5e-08,0.0025734775266666667,-56.31562186969674,-56.31562186969674,2.1770393277758077e-05,1.0766272225178285e-05,5e-08,5e-08
270,0,0,1.294994677611762,3.47264539027273,gaussian,0.7213895272037828,0.2999600223161544,,,,,,,,,,,,,,-9.971899207964399e-06,5.055482745573716e-06,5e-08,5e-08,0.0025734775266666667,-63.68437813030326,-63.68437813030326,3.0240317293412954e-05,-0.00012707280252124325,5e-08,5e-08
271,0,0,4.175301635897655,4.663797490072842,gaussian,0.6920100376826046,0.2817927183039758,,,,,,,,,,,,,,-5.089319538687259e-07,9.454566732036463e-05,5e-08,5e-08,0.0025734775266666667,-71.05313439090978,-71.05313439090978,8.905987396504903e-05,-5.631194685363823e-05,5e-08,5e-08
272,0,0,2.8085600799352,3.38063163748331,gaussian,0.8082106314008008,0.2366931665304714,,,,,,,,,,,,,,-4.532691840163031e-06,8.526136321827743e-05,5e-08,5e-08,0.0025734775266666667,-78.42189065151629,-78.42189065151629,4.0567531142041746e-05,0.00015053473273488784,5e-08,5e-08
273,0,0,5.303678891424787,2.235618984004109,gaussian,0.8584819206564569,0.3016589955381771,,,,,,,,,,,,,,3.37233296222128e-07,6.525037803251038e-05,5e-08,5e-08,0.0025734775266666667,-85.79064691212281,-85.79064691212281,6.314097770317636e-05,-5.361460435445769e-05,5e-08,5e-08
274,0,0,4.092290447649634,2.932632461205765,gaussian,0.8589354730524452,0.2582147173161263,,,,,,,,,,,,,,-7.913397838393482e-06,-3.50908157971208e-05,5e-08,5e-08,0.002362368379259259,-33.7703137124783,-33.7703137124783,-6.723377437677066e-05,-4.558407980267231e-06,5e-08,5e-08
275,0,0,2.206801898262142,3.127524624356004,gaussian,0.9136655338005035,0.3001107893861755,,,,,,,,,,,,,,5.43633394107368e-06,-8.471985699256265e-05,5e-08,5e-08,0.002362368379259259,-40.32773528435871,-40.32773528435871,-3.906178975178869e-05,-9.432102323676576e-05,5e-08,5e-08
276,0,0,4.592318005503888,2.491613856314142,gaussian,0.8071360580221736,0.2530485263176845,,,,,,,,,,,,,,-2.4636272952365628e-06,-0.00011701134965181195,5e-08,5e-08,0.002362368379259259,-46.88515685623912,-46.88515685623912,-0.00010685883778638456,-9.091846553522116e-05,5e-08,5e-08
277,0,0,1.891974326443781,3.168451766732433,gaussian,0.7056525494384828,0.3084699085724402,,,,,,,,,,,,,,-5.625331486481573e-06,-3.9061064877854903e-05,5e-08,5e-08,0.002362368379259259,-53.44257842811956,-53.44257842811956,-0.00011670672808619691,3.64871931969871e-05,5e-08,5e-08
278,0,0,5.251580784976566,2.834414758925866,gaussian,0.7475801714078237,0.2709393227613728,,,,,,,,,,,,,,1.6668833388436698e-06,1.4357873515006037e-05,5e-08,5e-08,0.002362368379259259,-59.99999999999997,-59.99999999999997,-3.8859061883962786e-05,2.4721138804555736e-05,5e-08,5e-08
279,0,0,4.246519999235776,1.659849850872297,gaussian,0.7377099368938107,0.2593310853205702,,,,,,,,,,,,,,2.115966972097401e-06,8.619181025679313e-05,5e-08,5e-08,0.002362368379259259,-66.55742157188041,-66.55742157188041,5.311059927544181e-05,1.267760075022422e-05,5e-08,5e-08
280,0,0,1.677816580159958,4.041773747511997,gaussian,0.7192471621495928,0.3105591119412384,,,,,,,,,,,,,,-9.030173693594886e-07,7.529119384701095e-05,5e-08,5e-08,0.002362368379259259,-73.11484314376085,-73.11484314376085,5.727729987980263e-05,-9.7529943873708e-06,5e-08,5e-08
281,0,0,0.1549823209579153,8.088792447914324,gaussian,0.8449453867993136,0.3379266818883701,,,,,,,,,,,,,,1.6504514249528239e-06,7.984729751508282e-05,5e-08,5e-08,0.002362368379259259,-79.67226471564126,-79.67226471564126,6.787904435805651e-05,4.437305598046941e-06,5e-08,5e-08
282,0,0,5.845469213271665,5.659696037592806,gaussian,0.6852827106462263,0.2813031973736842,,,,,,,,,,,,,,3.129890134418023e-06,2.1512073815611877e-05,5e-08,5e-08,0.002362368379259259,-86.2296862875217,-86.2296862875217,1.7063479397652434e-05,-3.269181082569413e-05,5e-08,5e-08
283,0,0,3.086533064092618,4.219680778560068,gaussian,0.8164698122612725,0.3214361293339838,,,,,,,,,,,,,,-3.8086291288545386e-06,-1.9772708752701117e-05,5e-08,5e-08,0.00245434197037037,-33.744197302838,-33.744197302838,-1.3748339516831337e-05,-8.884922203946588e-06,5e-08,5e-08
284,0,0,3.009557944066573,3.155373754637515,gaussian,0.7555814497006413,0.2704721573159598,,,,,,,,,,,,,,3.2140391718585517e-06,-0.00013914340590108506,5e-08,5e-08,0.00245434197037037,-40.3081479771285,-40.3081479771285,-9.436034929586602e-05,-0.00010224623374690621,5e-08,5e-08
285,0,0,4.426050262583979,1.405027440284907,gaussian,0.8274301602489668,0.3012752411222832,,,,,,,,,,,,,,1.803811425282551e-06,-6.176941618695547e-05,5e-08,5e-08,0.00245434197037037,-46.87209865141904,-46.87209865141904,-1.7858680782109685e-06,-0.00010746080347653726,5e-08,5e-08
286,0,0,4.782017222075948,3.185111269396881,gaussian,0.7880735411091109,0.299655136789431,,,,,,,,,,,,,,1.3180156876019331e-06,-4.98962084727523e-05,5e-08,5e-08,0.00245434197037037,-53.43604932570952,-53.43604932570952,-8.677469573455282e-05,-1.5343226019480955e-05,5e-08,5e-08
287,0,0,4.779609909836372,5.000677058053753,gaussian,0.7840679837608029,0.3090199283045162,,,,,,,,,,,,,,-2.393915626121733e-06,4.777090115923243e-05,5e-08,5e-08,0.00245434197037037,-60.00000000000003,-60.00000000000003,6.7595337960074205e-06,1.4008575497525945e-05,5e-08,5e-08
288,0,0,4.755186236670967,4.513134393589977,gaussian,0.867259952733419,0.3420907015665279,,,,,,,,,,,,,,-6.793029393558167e-06,0.00013770428964127502,5e-08,5e-08,0.00245434197037037,-66.56395067429051,-66.56395067429051,0.0001247881034191163,-1.1622690862903064e-05,5e-08,5e-08
289,0,0,3.156553493028231,2.923688081724498,gaussian,0.6590126087463618,0.2898107109296776,,,,,,,,,,,,,,-1.106234218713125e-06,0.00014166735662526483,5e-08,5e-08,0.00245434197037037,-73.12790134858102,-73.12790134858102,0.0001307163217540956,1.747494803177654e-05,5e-08,5e-08
290,0,0,4.141072023929175,3.785909397718981,gaussian,0.8138369390269533,0.2626541201436868,,,,,,,,,,,,,,-4.443501637991582e-06,0.00011601424929691368,5e-08,5e-08,0.00245434197037037,-79.69185202287153,-79.69185202287153,0.0001183487001843518,4.67868008492375e-06,5e-08,5e-08
291,0,0,2.627814075525609,2.218898040563531,gaussian,0.7492768910567311,0.3093655668887833,,,,,,,,,,,,,,-4.248232698315879e-06,3.465437794804778e-05,5e-08,5e-08,0.00245434197037037,-86.25580269716201,-86.25580269716201,4.207227876447707e-05,-4.1006233274225986e-05,5e-08,5e-08
292,0,0,1.502245551869806,4.548851839403429,gaussian,0.8333487207414961,0.2986056446305336,,,,,,,,,,,,,,5.5613414762464405e-06,-5.158015902138974e-05,5e-08,5e-08,0.002535881662222222,-33.72102804284276,-33.72102804284276,-5.5744751130984776e-05,-1.9430922897813776e-05,5e-08,5e-08
293,0,0,3.364574436211319,6.756256314086469,gaussian,0.8690835276854697,0.2752106073832086,,,,,,,,,,,,,,3.955192034395148e-06,-5.359200883954453e-05,5e-08,5e-08,0.002535881662222222,-40.29077103213206,-40.29077103213206,4.646379644763098e-06,-8.060400655442848e-05,5e-08,5e-08
294,0,0,3.331555029694121,2.743393465733342,gaussian,0.75497761070547,0.2831598909638998,,,,,,,,,,,,,,-7.011791419300286e-06,-7.387315004832861e-05,5e-08,5e-08,0.002535881662222222,-46.86051402142135,-46.86051402142135,-4.6311931516860864e-05,-8.381471024194307e-05,5e-08,5e-08
295,0,0,6.61893247394658,4.846487843811721,gaussian,0.7122478187259589,0.3282802359004392,,,,,,,,,,,,,,1.680936197838259e-06,-1.2670436369904057e-05,5e-08,5e-08,0.002535881662222222,-53.430257010710704,-53.430257010710704,-0.00010672621122683829,7.264549842585473e-05,5e-08,5e-08
296,0,0,0.7161712546405632,3.221789152681651,gaussian,0.730198171703513,0.2598588660481926,,,,,,,,,,,,,,-4.251341392743188e-06,3.6582315175031175e-06,5e-08,5e-08,0.002535881662222222,-59.99999999999997,-59.99999999999997,-6.597595251732254e-05,5.306775447074334e-05,5e-08,5e-08
297,0,0,4.346826848497556,1.418264217861544,gaussian,0.9102024125308306,0.2791545328223346,,,,,,,,,,,,,,8.022311968611103e-06,0.00010181650768717,5e-08,5e-08,0.002535881662222222,-66.5697429892893,-66.5697429892893,6.406979626596202e-05,3.5511073804956564e-05,5e-08,5e-08
298,0,0,3.075840416061771,3.529652282008301,gaussian,0.8090418652061182,0.267226321054987,,,,,,,,,,,,,,3.22780981083138e-06,0.00011433109498252685,5e-08,5e-08,0.002535881662222222,-73.13948597857859,-73.13948597857859,0.00012035423150407511,-5.8457577210176255e-05,5e-08,5e-08
299,0,0,1.220976173566458,5.453694738161531,gaussian,0.7359624951892302,0.3021460141263086,,,,,,,,,,,,,,1.122620020673513e-06,0.00010495612103334474,5e-08,5e-08,0.002535881662222222,-79.70922896786792,-79.70922896786792,0.00012444062007123933,-0.00012224114542297651,5e-08,5e-08
300,0,0,3.811750455970529,3.352351605131549,gaussian,0.8667787509657392,0.3117225597413767,,,,,,,,,,,,,,-5.263459412190714e-06,-1.1859527343979895e-05,5e-08,5e-08,0.002535881662222222,-86.27897195715721,-86.27897195715721,-5.306233810611508e-06,-3.9285248434623365e-05,5e-08,5e-08
301,0,0,4.277312939020409,1.551641003546409,gaussian,0.6633764871057745,0.2720832821774349,,,,,,,,,,,,,,3.734593475334797e-06,-2.12159011259744e-06,5e-08,5e-08,0.0011432763066666666,80.90470066135762,80.90470066135762,6.508085146089056e-06,3.962608733220695e-05,5e-08,5e-08
302,0,0,1.84077386209274,2.386489627634504,gaussian,0.6984691052385081,0.2612846367986485,,,,,,,,,,,,,,5.690553838946832e-06,-7.086441561680439e-06,5e-08,5e-08,0.0011432763066666666,66.96823355378586,66.96823355378586,-2.2441556801085203e-05,-3.5536580679910385e-05,5e-08,5e-08
303,0,0,4.107839447430909,4.595601363815917,gaussian,0.7823673222332519,0.2888945369998673,,,,,,,,,,,,,,-6.473858164045463e-06,7.2061999146569825e-06,5e-08,5e-08,0.0011432763066666666,53.031766446214164,53.031766446214164,3.422417503795432e-05,3.3431468502471206e-05,5e-08,5e-08
304,0,0,5.961578711546538,0.9515821130910334,gaussian,0.6159510505344659,0.262313392915873,,,,,,,,,,,,,,1.208209621452379e-06,5.001961830283104e-06,5e-08,5e-08,0.0011432763066666666,39.09529933864238,39.09529933864238,1.1618097027362503e-05,4.5799169444611133e-07,5e-08,5e-08
305,0,0,3.886115247610105,1.902547800072013,gaussian,0.7477211525309606,0.3156277015327018,,,,,,,,,,,,,,3.660443161242571e-06,3.143157603601674e-07,5e-08,5e-08,0.0016374245533333333,81.2522729628686,81.2522729628686,3.135713963358818e-06,8.199270400852334e-06,5e-08,5e-08
306,0,0,3.895812737990103,5.909206715355921,gaussian,0.7667871205874444,0.3191704510926338,,,,,,,,,,,,,,-4.906374175653771e-06,-3.689398959959353e-06,5e-08,5e-08,0.0016374245533333333,67.08409098762289,67.08409098762289,1.8905674453709796e-05,5.666191340616129e-05,5e-08,5e-08
307,0,0,0.954023680613862,4.316261903449233,gaussian,0.8217728255729236,0.2478714324287704,,,,,,,,,,,,,,-4.141511676931156e-06,2.644626519102773e-05,5e-08,5e-08,0.0016374245533333333,52.91590901237717,52.91590901237717,1.896506516351056e-05,-1.6244542390133694e-05,5e-08,5e-08
308,0,0,2.891502497994387,2.614722221992476,gaussian,0.8977034626102415,0.2788703521542289,,,,,,,,,,,,,,6.373359716626435e-06,1.8792566805134287e-05,5e-08,5e-08,0.0016374245533333333,38.747727037131426,38.747727037131426,7.226309870871146e-06,-1.9911569801321906e-05,5e-08,5e-08
309,0,0,1.003781515872369,4.472236803566591,gaussian,0.6723719219480573,0.3242586372085617,,,,,,,,,,,,,,-3.4762512340520277e-06,-9.121066213173712e-06,5e-08,5e-08,0.0021275755199999997,81.47539364108698,81.47539364108698,-6.174827063602572e-06,2.3071852289029658e-05,5e-08,5e-08
310,0,0,3.970354994240651,3.89790216559946,gaussian,0.7040168579429196,0.2974013197772297,,,,,,,,,,,,,,-1.201036034667289e-06,9.117118450315875e-06,5e-08,5e-08,0.0021275755199999997,67.15846454702901,67.15846454702901,1.2014452281778714e-05,1.6027443633212774e-05,5e-08,5e-08
311,0,0,4.948574786597552,3.054283043762517,gaussian,0.6533636477800266,0.3096555127910989,,,,,,,,,,,,,,3.2396967174153468e-06,2.29538037011987e-05,5e-08,5e-08,0.0021275755199999997,52.841535452971044,52.841535452971044,1.5767809747521128e-05,-8.948676293790483e-06,5e-08,5e-08
312,0,0,5.26114857854809,5.269779799828967,gaussian,0.8283387592556415,0.2710474490182719,,,,,,,,,,,,,,-3.693383712680596e-06,9.074561946867936e-06,5e-08,5e-08,0.0021275755199999997,38.524606358913076,38.524606358913076,2.659982459129571e-05,1.0611974299841488e-05,5e-08,5e-08
313,0,0,0.9695261526666308,4.2595123633836,gaussian,0.7249996095006848,0.2843937914238958,,,,,,,,,,,,,,-2.929367950719277e-06,-4.02766096646995e-06,5e-08,5e-08,0.001983757104,83.07283605550452,83.07283605550452,-5.070237871008151e-06,2.053190886050682e-06,5e-08,5e-08
314,0,0,4.303227402069916,4.814294042207708,gaussian,0.8964638708269698,0.2998811544070125,,,,,,,,,,,,,,4.77982282760853e-06,-2.6686521153495804e-05,5e-08,5e-08,0.001983757104,71.53641802775232,71.53641802775232,-2.8928011329116893e-05,1.3184423641541816e-05,5e-08,5e-08
315,0,0,1.676258273084669,4.928112149266216,gaussian,0.6197667640849963,0.3158725340544323,,,,,,,,,,,,,,9.275480424778925e-06,-3.399178758695789e-06,5e-08,5e-08,0.001983757104,60.0,60.0,-8.685607481569806e-06,5.7844535274594755e-06,5e-08,5e-08
316,0,0,2.423130772914152,2.57440645329015,gaussian,0.6968954463159339,0.312488672123843,,,,,,,,,,,,,,1.0172116614230312e-06,2.3019832627258892e-05,5e-08,5e-08,0.001983757104,48.46358197224774,48.46358197224774,-1.5707749100585047e-06,-2.8202612162856253e-05,5e-08,5e-08
317,0,0,2.854010058093677,4.089394757540936,gaussian,0.7027548104798211,0.2903906592341101,,,,,,,,,,,,,,8.065794043817756e-07,4.531164591447771e-05,5e-08,5e-08,0.001983757104,36.927163944495476,36.927163944495476,2.8276512388080883e-05,-3.36010052924862e-05,5e-08,5e-08
318,0,0,0.387745625490286,1.089804727103648,gaussian,0.7211056607696904,0.2608820551294384,,,,,,,,,,,,,,-1.144851628999075e-06,-1.0238254247803858e-05,5e-08,5e-08,0.0023533133866666667,83.19491191309001,83.19491191309001,-1.2598588319467123e-05,-1.0067441884799644e-05,5e-08,5e-08
319,0,0,5.289839640465875,5.961894135057218,gaussian,0.7202293347909936,0.2946797813736788,,,,,,,,,,,,,,4.9049562614432e-06,-3.8865674997999547e-05,5e-08,5e-08,0.0023533133866666667,71.59745595654505,71.59745595654505,-5.2813186911640805e-05,-1.440919105095493e-05,5e-08,5e-08
320,0,0,6.152767739588957,4.637298715734022,gaussian,0.7386854701485579,0.3038227410089478,,,,,,,,,,,,,,4.179335883939419e-06,-1.8638783996231406e-05,5e-08,5e-08,0.0023533133866666667,59.99999999999997,59.99999999999997,-2.7096851720601246e-05,1.0833204002593751e-05,5e-08,5e-08
321,0,0,3.579300081452944,1.705257221629685,gaussian,0.7843705865300596,0.2783699671986853,,,,,,,,,,,,,,-3.154775224557181e-06,5.56790229235668e-05,5e-08,5e-08,0.0023533133866666667,48.40254404345498,48.40254404345498,1.7544607380264515e-05,-5.360419416953582e-05,5e-08,5e-08
322,0,0,2.290591916844336,5.284745361397149,gaussian,0.7851920173390722,0.2790853561594482,,,,,,,,,,,,,,-2.452231051170355e-06,3.3686836376058216e-05,5e-08,5e-08,0.0023533133866666667,36.805088086910004,36.805088086910004,2.9769020183630143e-05,-1.840445093836919e-05,5e-08,5e-08
323,0,0,3.563221655179813,5.52331330411403,gaussian,0.9362660985458836,0.2630465090807359,,,,,,,,,,,,,,-3.2096256894686587e-06,-3.10568891685021e-05,5e-08,5e-08,0.0021710265733333334,84.2589276980396,84.2589276980396,-2.8248944226503797e-05,9.419729141577708e-06,5e-08,5e-08
324,0,0,1.575175774456541,6.115825212283823,gaussian,0.8487078471520807,0.2815844774259615,,,,,,,,,,,,,,-2.720727203489775e-06,-3.2593141211049e-05,5e-08,5e-08,0.0021710265733333334,74.55535661882374,74.55535661882374,-3.9295761149772824e-05,1.5903059059014942e-06,5e-08,5e-08
325,0,0,2.707632955428387,2.488405245142568,gaussian,0.6780949840599078,0.2709564663185185,,,,,,,,,,,,,,2.057769624838124e-06,1.169619415559519e-06,5e-08,5e-08,0.0021710265733333334,64.8517855396079,64.8517855396079,1.4970137783878017e-05,5.815498007204943e-05,5e-08,5e-08
326,0,0,5.897341919484506,2.720799925653513,gaussian,0.6750020422862435,0.251043970171704,,,,,,,,,,,,,,-5.5112680989367254e-06,4.717538535771997e-05,5e-08,5e-08,0.0021710265733333334,55.1482144603921,55.1482144603921,3.473833020662232e-05,-1.0887015089779506e-05,5e-08,5e-08
327,0,0,5.230628540496398,3.492710407524102,gaussian,0.6938116980742914,0.2625357206122804,,,,,,,,,,,,,,7.51148367334915e-06,7.873656513456992e-05,5e-08,5e-08,0.0021710265733333334,45.44464338117626,45.44464338117626,7.086029579941228e-05,-3.235878094726044e-05,5e-08,5e-08
328,0,0,3.876712388605192,0.9053805561224881,gaussian,0.7230800554393352,0.3513988339735369,,,,,,,,,,,,,,4.104679813570556e-06,1.4290576082717339e-05,5e-08,5e-08,0.0021710265733333334,35.74107230196044,35.74107230196044,1.1584175742644486e-05,-1.2025484705313119e-05,5e-08,5e-08
329,0,0,4.175637966477629,1.480136825153848,gaussian,0.7976937823736344,0.2889775690663802,,,,,,,,,,,,,,3.555432638887492e-06,-4.809521493271588e-05,5e-08,5e-08,0.0020396265066666666,85.03146653651959,85.03146653651959,-4.834699807074003e-05,-3.460984175421977e-05,5e-08,5e-08
330,0,0,3.200919757777878,0.1681107924355346,gaussian,0.8315683853634355,0.3204239145259836,,,,,,,,,,,,,,9.127006140951313e-06,-8.6437385246451e-05,5e-08,5e-08,0.0020396265066666666,76.68764435767974,76.68764435767974,-8.357110376691013e-05,4.5313048478066116e-05,5e-08,5e-08
331,0,0,3.438054919085858,5.790601734675652,gaussian,0.7901716966029079,0.2974021488150745,,,,,,,,,,,,,,-1.493720820585506e-06,-2.2123637239845725e-05,5e-08,5e-08,0.0020396265066666666,68.34382217883987,68.34382217883987,-1.9299176032012086e-05,4.862833773930504e-05,5e-08,5e-08
332,0,0,3.697447593097874,2.790931180319544,gaussian,0.6469761751221569,0.301084495102427,,,,,,,,,,,,,,6.086725078772051e-07,-1.4402063796502957e-05,5e-08,5e-08,0.0020396265066666666,60.0,60.0,-1.4032050010055144e-05,3.7780035713162266e-05,5e-08,5e-08
333,0,0,0.4467101446158244,3.803446808654668,gaussian,0.8604706874234473,0.2856699093956841,,,,,,,,,,,,,,-2.169032950707945e-06,4.317142062506105e-05,5e-08,5e-08,0.0020396265066666666,51.656177821160185,51.656177821160185,-1.0601946388009754e-05,-6.109832916995163e-05,5e-08,5e-08
334,0,0,3.829505621752817,4.841469169623863,gaussian,0.8783763864963502,0.3227910504969017,,,,,,,,,,,,,,1.085532267264002e-07,6.670011326784485e-05,5e-08,5e-08,0.0020396265066666666,43.312355642320284,43.312355642320284,8.022874293372764e-05,-9.319724569192958e-06,5e-08,5e-08
335,0,0,5.566286941418174,5.986237880156848,gaussian,0.7588521969172535,0.252327040210015,,,,,,,,,,,,,,3.340369977974605e-06,6.960391476617233e-05,5e-08,5e-08,0.0020396265066666666,34.96853346348044,34.96853346348044,-1.8350864027697112e-05,-0.00010198437661645478,5e-08,5e-08
336,0,0,1.915611964645251,3.422687621097459,gaussian,0.6723430033556734,0.2881185218187994,,,,,,,,,,,,,,-8.22115860027008e-06,-8.691689470759187e-06,5e-08,5e-08,0.0022554929066666667,85.09589760214197,85.09589760214197,-9.549854565466733e-06,-4.3242881209384044e-05,5e-08,5e-08
