MM #,m_rad [arcsec],m_azi [arcsec],sigma_rad [arcsec],sigma_azi [arcsec],distribution,alpha_rad,alpha_azi,Unnamed: 8.1,Unnamed: 9.1,Standard MM_PSF distributions,sigma_rad_,sigma_azi_,alpha_rad_,alpha_azi_,Unnamed: 15.1,Unnamed: 16.1,Unnamed: 8,Unnamed: 9,Unnamed: 15,Unnamed: 16,m_rad,m_azi,sigma_rad,sigma_azi,weight,theta_degrees,theta_position,mux,muy,sigmax,sigmay
43,0,0,0.8876717728909894,5.123167337996697,gaussian,0.5975893375462631,0.2921438972591241,,,,,,,,,,,,,,-4.11263160492507e-06,4.919925913191949e-07,5e-08,5e-08,0.0024684620533333332,85.14921397944846,85.14921397944846,-8.652528087952124e-06,-5.2894999527494164e-05,5e-08,5e-08
44,0,0,1.652928781105073,0.7407897647339543,gaussian,0.6487573560824341,0.3192992405575061,,,,,,,,,,,,,,-3.4699543808807897e-06,-6.366875312713862e-05,5e-08,5e-08,0.0024684620533333332,76.76614265296564,76.76614265296564,7.015183031043059e-05,-1.2204722437300517e-05,5e-08,5e-08
45,0,0,2.241214389583258,2.848854905752014,gaussian,0.7644882917830554,0.3265354737551159,,,,,,,,,,,,,,1.8957071044009749e-06,-4.5822771448415676e-05,5e-08,5e-08,0.0024684620533333332,68.38307132648282,68.38307132648282,4.560268889981252e-05,-6.153009984561961e-05,5e-08,5e-08
46,0,0,2.504933415358358,6.558731014666409,gaussian,0.8049869208055183,0.2722103463814949,,,,,,,,,,,,,,1.669784482110521e-06,-8.870517108054525e-06,5e-08,5e-08,0.0024684620533333332,60.00000000000001,60.00000000000001,8.90046012984672e-07,-6.267851063755877e-05,5e-08,5e-08
47,0,0,4.79538424411784,3.719991150027544,gaussian,0.7936139864460331,0.2954614525722571,,,,,,,,,,,,,,8.014510577629865e-06,4.139325948368596e-05,5e-08,5e-08,0.0024684620533333332,51.61692867351719,51.61692867351719,-2.647689321758503e-05,8.090992767836714e-08,5e-08,5e-08
48,0,0,2.888675426808636,6.408824380042206,gaussian,0.6829559485972044,0.2542437826477947,,,,,,,,,,,,,,9.184879310911438e-06,7.70494396922318e-05,5e-08,5e-08,0.0024684620533333332,43.233857347034366,43.233857347034366,-7.780830477049577e-05,1.9679431179140968e-05,5e-08,5e-08
49,0,0,2.202127063339192,2.272575519369575,gaussian,0.7801107590182444,0.2338762247758548,,,,,,,,,,,,,,8.453030977891097e-06,5.972889848972791e-05,5e-08,5e-08,0.0024684620533333332,34.85078602055153,34.85078602055153,-8.494693008845753e-05,1.544970986763724e-05,5e-08,5e-08
50,0,0,3.22395120362934,4.165017499882772,gaussian,0.755203103067283,0.2514932641781377,,,,,,,,,,,,,,2.544648133643265e-06,-7.217947865698812e-05,5e-08,5e-08,0.0022760520066666665,85.7184757630719,85.7184757630719,7.69247318890175e-05,8.338689723951063e-05,5e-08,5e-08
51,0,0,4.588674034461095,3.67596750218731,gaussian,0.7825834185617647,0.271122891690588,,,,,,,,,,,,,,-4.60158005851735e-06,-0.00011257697220691793,5e-08,5e-08,0.0022760520066666665,78.37033983076564,78.37033983076564,0.00013387963851898516,5.445436001682396e-05,5e-08,5e-08
52,0,0,2.724104648754414,3.57758395972815,gaussian,0.8378827445866552,0.2795895028361949,,,,,,,,,,,,,,3.5947963240441856e-06,-0.00010904269722931357,5e-08,5e-08,0.0022760520066666665,71.02220389845938,71.02220389845938,0.00010122613708716047,-0.00010348552672617134,5e-08,5e-08
