MM #,mux,muy,sigmax,sigmay,weight,distribution,alpha_azi,alpha_rad,theta_degrees
140,2.96198725686484e-05,0.00017985444275762705,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-8.365299200713991
141,5.547065346342291e-05,0.00017363169075655617,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-16.730598401427983
142,8.014108827026765e-05,0.0001637142736645057,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-25.095897602141974
143,-8.137514603077719e-05,0.000181388197167806,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,25.14921397944846
144,-5.406097154029372e-05,0.00019131388820322674,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,16.76614265296564
145,-2.559156291942711e-05,0.0001971513742550586,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,8.38307132648282
146,3.424714285041208e-06,0.00019877591351917618,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-0.0
147,3.2367808438665875e-05,0.0001961527910588962,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-8.38307132648282
148,6.061923176269433e-05,0.00018933806063181779,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-16.766142652965655
149,8.757527685923979e-05,0.00017847734687165392,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-25.14921397944846
150,-9.001042153323582e-05,0.000195417875357063,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,25.718475763071908
151,-6.427766385733414e-05,0.00020532511761278249,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,18.370339830765644
152,-3.748912520219327e-05,0.00021185982980554308,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,11.02220389845938
153,-1.0084815796506122e-05,0.00021491467721868122,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,3.6740679661531317
154,1.7485139901502983e-05,0.00021443948301626796,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-3.674067966153146
155,4.476789664081439e-05,0.00021044205241352488,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-11.022203898459395
156,7.131532650423278e-05,0.00020298804447369326,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-18.370339830765644
157,9.669137955130453e-05,0.00019219989363713228,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-25.718475763071908
158,-9.698898248379713e-05,0.00021019897845974095,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,25.75719081890182
159,-6.926579688135562e-05,0.00022089074822443725,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,18.397993442072732
160,-4.0401475482064646e-05,0.0002279434009740863,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,11.03879606524363
161,-1.0871550393883933e-05,0.00023124074610845338,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,3.6795986884145293
162,1.8837480629408722e-05,0.00023072846073316923,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-3.6795986884145435
163,4.823616911083333e-05,0.0002264149846151355,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-11.03879606524363
164,7.684017938521247e-05,0.00021837138113958368,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-18.397993442072718
165,0.00010417826790194572,0.0002067301665594825,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-25.75719081890182
166,-0.0001039662231320068,0.00022497970882973182,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,25.79064691212278
167,-7.425286136839964e-05,0.00023645582571814628,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,18.42189065151628
168,-4.3313027665078145e-05,0.00024402628254335495,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,11.053134390909776
169,-1.1657770851100552e-05,0.00024756603425395076,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,3.6843781303032586
170,2.019004324033417e-05,0.00024701661298665424,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-3.6843781303032586
171,5.170436821041319e-05,0.00024238709380948304,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-11.053134390909776
172,8.23646660682425e-05,0.00023375394482427896,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-18.421890651516307
173,0.00011166450521922867,0.00022125976410452487,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-25.79064691212278
174,-0.0001126543743921231,0.00023896029027544225,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,26.229686287521723
175,-8.462837409088268e-05,0.00025026199610995255,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,19.672264715641276
176,-5.549508005950235e-05,0.0002582892264253267,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,13.114843143760865
177,-2.5635677853840835e-05,0.0002629369514145518,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,6.557421571880425
178,4.559146432894337e-06,0.0002641443593605733,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-0.0
179,3.469431798124044e-05,0.00026189565230835897,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-6.557421571880425
180,6.437554247950085e-05,0.00025622025276834427,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-13.114843143760865
181,9.321446514545416e-05,0.00024719241874671485,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-19.67226471564129
182,0.00012083375203413165,0.00023493027213953983,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,-26.229686287521716
183,-0.00011973650804156366,0.00025368893696817786,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,26.255802697162004
184,-8.995190175183892e-05,0.00026571331067385225,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,19.6918520228715
185,-5.898800535280801e-05,0.0002742541217967904,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,13.127901348581005
186,-2.72507626439662e-05,0.00027919939833988516,0.00024029111365040596,7.349581480148122e-05,0.0,pseudo-voigt,0.29,0.77,6.56395067429051
