MM #,m_rad [arcsec],m_azi [arcsec],sigma_rad [arcsec],sigma_azi [arcsec],distribution,alpha_rad,alpha_azi,Unnamed: 8,Unnamed: 9,Standard MM_PSF distributions,sigma_rad_,sigma_azi_,alpha_rad_,alpha_azi_,Unnamed: 15,Unnamed: 16,m_rad,m_azi,sigma_rad,sigma_azi,weight,theta_degrees,theta_position,mux,muy,sigmax,sigmay
318,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-2.3009549058819575e-05,,,0.0023533133866666667,83.19491191309001,83.19491191309001,-2.347812826274781e-05,6.544640779115334e-06,,
319,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-2.5481842975538967e-05,,,0.0023533133866666667,71.59745595654505,71.59745595654505,-2.9089856193968336e-05,1.4499868833318951e-05,,
320,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,4.3113572828232675e-06,,,0.0023533133866666667,59.99999999999997,59.99999999999997,-3.938247324867777e-06,5.044800890282689e-06,,
321,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,3.219072431646847e-05,,,0.0023533133866666667,48.40254404345498,48.40254404345498,1.906779658081069e-05,-1.6508786963627007e-05,,
322,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,2.8204425715879747e-05,,,0.0023533133866666667,36.805088086910004,36.805088086910004,1.6698948484683957e-05,-2.1336715310899845e-05,,
323,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-2.9212709765348932e-05,,,0.0021710265733333334,84.2589276980396,84.2589276980396,-2.6742697545918846e-05,5.9659910029729074e-06,,
324,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-5.330717113000582e-05,,,0.0021710265733333334,74.55535661882374,74.55535661882374,-5.552424164146259e-05,2.0634434081708508e-05,,
325,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-1.3884245447768865e-05,,,0.0021710265733333334,64.8517855396079,64.8517855396079,-2.208161449323521e-05,1.4655001366980493e-05,,
326,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,2.526436293591586e-05,,,0.0021710265733333334,55.1482144603921,55.1482144603921,1.0795490946676402e-05,-6.927411512174732e-06,,
327,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,5.8599553721944475e-05,,,0.0021710265733333334,45.44464338117626,45.44464338117626,3.710128075516609e-05,-3.794424236175849e-05,,
328,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,3.504570217322565e-05,,,0.0021710265733333334,35.74107230196044,35.74107230196044,2.1921178919882035e-05,-3.015740187709478e-05,,
329,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-3.962389936172858e-05,,,0.0020396265066666666,85.03146653651959,85.03146653651959,-3.635719260124154e-05,5.495138235960011e-06,,
330,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-6.892987812111046e-05,,,0.0020396265066666666,76.68764435767974,76.68764435767974,-7.138376192434938e-05,2.0785738673636027e-05,,
331,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-3.50440452472045e-05,,,0.0020396265066666666,68.34382217883987,68.34382217883987,-4.4217860643060827e-05,2.088201111485634e-05,,
332,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,6.38154179332281e-06,,,0.0020396265066666666,60.0,60.0,-8.551981804683125e-06,5.70458109415787e-06,,
333,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,4.551679584936838e-05,,,0.0020396265066666666,51.656177821160185,51.656177821160185,2.4042957505501974e-05,-2.107973932281701e-05,,
334,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,7.626096287248307e-05,,,0.0020396265066666666,43.312355642320284,43.312355642320284,4.7364125623018026e-05,-5.34429630585901e-05,,
335,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,4.672092774507732e-05,,,0.0020396265066666666,34.96853346348044,34.96853346348044,2.8101955205197136e-05,-4.157153255485288e-05,,
336,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-3.4363648848454406e-05,,,0.0022554929066666667,85.09589760214197,85.09589760214197,-3.132530883135375e-05,3.2690153388781245e-06,,
337,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-7.782420744824774e-05,,,0.0022554929066666667,76.73059840142798,76.73059840142798,-8.191199517340314e-05,2.172800628384826e-05,,
338,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,-4.2104243960845925e-05,,,0.0022554929066666667,68.36529920071399,68.36529920071399,-5.408893311036523e-05,2.3224702066987462e-05,,
339,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,6.760695904997962e-06,,,0.0022554929066666667,60.0,60.0,-1.1865383503218649e-05,5.849826706919444e-06,,
340,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,5.2988758757225305e-05,,,0.0022554929066666667,51.63470079928604,51.63470079928604,2.6730375602119634e-05,-2.5153861424526428e-05,,
341,0,0,3.397,3.397,gaussian,0.5,0.5,,,,,,,,,,0.0,8.624707296305026e-05,,,0.0022554929066666667,43.269401598572045,43.269401598572045,5.203071659404322e-05,-6.076798456753492e-05,,
