MM #,m_rad,m_azi,sigma_rad,sigma_azi,distribution,alpha_azi,alpha_rad,weight,theta_degrees,theta_position,mux,muy,sigmax,sigmay
477,0.0,0.0,0.00013584170664932376,0.000240442551116054,pseudo-voigt,0.3042673384906997,0.7177294612161574,0.0,46.88515685623915,46.88515685623915,0.0,0.0,0.00013584170664932376,0.000240442551116054
478,0.0,0.0,0.00018652926757966982,1.1982867992179434e-05,pseudo-voigt,0.3080208880574384,0.7272700589834512,0.0,-13.114843143760865,-13.114843143760865,0.0,0.0,0.00018652926757966982,1.1982867992179434e-05
479,0.0,0.0,0.00015453765306420994,0.00023621770648111684,pseudo-voigt,0.2691940252024641,0.7319131877204629,0.0,-46.88515685623918,-46.88515685623918,-0.0,0.0,0.00015453765306420994,0.00023621770648111684
480,0.0,0.0,0.00035654262624771254,0.00015010445908800215,pseudo-voigt,0.2930994797682985,0.7224318522714956,0.0,-79.67226471564129,-79.67226471564129,-0.0,0.0,0.00035654262624771254,0.00015010445908800215
481,0.0,0.0,0.00020724961401702023,0.00021014437986608222,pseudo-voigt,0.2786218067233732,0.8011853843441984,0.0,33.77031371247829,33.77031371247829,0.0,0.0,0.00020724961401702023,0.00021014437986608222
482,0.0,0.0,0.000219754281668596,0.00017151870495979324,pseudo-voigt,0.2995865710544336,0.7118367383011365,0.0,-40.32773528435868,-40.32773528435868,-0.0,0.0,0.000219754281668596,0.00017151870495979324
483,0.0,0.0,0.00012567610241389496,0.00022890145147799556,pseudo-voigt,0.2814715468177204,0.8147349736526684,0.0,26.255802697162025,26.255802697162025,0.0,-0.0,0.00012567610241389496,0.00022890145147799556
484,0.0,0.0,0.00023636090348942452,0.0002736429796037642,pseudo-voigt,0.2681155291536467,0.7751843783354314,0.0,-59.999999999999915,-59.999999999999915,-0.0,0.0,0.00023636090348942452,0.0002736429796037642
485,0.0,0.0,0.0001323223596910488,0.0002968306330412474,pseudo-voigt,0.283490524238932,0.8442246086162443,0.0,66.56395067429048,66.56395067429048,0.0,0.0,0.0001323223596910488,0.0002968306330412474
486,0.0,0.0,9.008511497048133e-05,0.00014683268432816535,pseudo-voigt,0.2447410019852132,0.7222103667941254,0.0,13.127901348581034,13.127901348581034,0.0,-0.0,9.008511497048133e-05,0.00014683268432816535
487,0.0,0.0,0.0001597181466702373,0.00013124241776878918,pseudo-voigt,0.2661152135573744,0.7568194067361133,0.0,6.56395067429051,6.56395067429051,0.0,0.0,0.0001597181466702373,0.00013124241776878918
488,0.0,0.0,0.0002270999199969015,0.00027739685583101024,pseudo-voigt,0.301476070323318,0.7322581063313833,0.0,60.00000000000001,60.00000000000001,0.0,0.0,0.0002270999199969015,0.00027739685583101024
489,0.0,0.0,6.122266297829014e-05,8.119821052096205e-05,pseudo-voigt,0.2703023587784882,0.7662920297857813,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,-0.0,6.122266297829014e-05,8.119821052096205e-05
490,0.0,0.0,0.00014559341758863808,0.0001291798703790671,pseudo-voigt,0.3190826164389482,0.7245244353165065,0.0,-6.563950674290481,-6.563950674290481,0.0,0.0,0.00014559341758863808,0.0001291798703790671
491,0.0,0.0,0.0002383338407457277,1.5243427585057665e-05,pseudo-voigt,0.3388118789844519,0.8986059562946993,0.0,26.255802697162004,26.255802697162004,0.0,0.0,0.0002383338407457277,1.5243427585057665e-05
492,0.0,0.0,0.0002824045578929407,0.000397833563653214,pseudo-voigt,0.2454007791089478,0.7398039900278375,0.0,-86.27897195715724,-86.27897195715724,-0.0,0.0,0.0002824045578929407,0.000397833563653214
493,0.0,0.0,0.00022894714499540928,0.00010802386424177555,pseudo-voigt,0.3185670381512118,0.6973870688774534,0.0,33.72102804284276,33.72102804284276,0.0,0.0,0.00022894714499540928,0.00010802386424177555
494,0.0,0.0,0.0002652428040787306,0.00011854118415151456,pseudo-voigt,0.3104477188460381,0.8003232495719086,0.0,60.00000000000001,60.00000000000001,0.0,0.0,0.0002652428040787306,0.00011854118415151456
495,0.0,0.0,0.0002285696075376509,0.00028864897760124227,pseudo-voigt,0.2902498654025897,0.684725814553713,0.0,-66.5697429892893,-66.5697429892893,0.0,0.0,0.0002285696075376509,0.00028864897760124227
496,0.0,0.0,0.00017318102080977383,6.392193149497732e-05,pseudo-voigt,0.2574512694514142,0.6728714974039245,0.0,6.56974298928931,6.56974298928931,0.0,0.0,0.00017318102080977383,6.392193149497732e-05
497,0.0,0.0,0.000201672982494216,0.00021171660874038295,pseudo-voigt,0.2928289229479237,0.7753092245910489,0.0,19.70922896786793,19.70922896786793,0.0,0.0,0.000201672982494216,0.00021171660874038295
498,0.0,0.0,0.00015204694829563532,0.00014029329562406821,pseudo-voigt,0.2662139004301684,0.8123069966492559,0.0,-6.569742989289281,-6.569742989289281,-0.0,0.0,0.00015204694829563532,0.00014029329562406821
499,0.0,0.0,0.00024089187334339066,0.00011845759443799904,pseudo-voigt,0.2654606757906013,0.7883747200664887,0.0,40.290771032132085,40.290771032132085,0.0,-0.0,0.00024089187334339066,0.00011845759443799904
500,0.0,0.0,0.00017397592104124006,0.00016845552615447508,pseudo-voigt,0.2930309410235777,0.7698835003229039,0.0,-13.139485978578605,-13.139485978578605,0.0,0.0,0.00017397592104124006,0.00016845552615447508
501,0.0,0.0,0.00013109554868847572,0.0003273839287722066,pseudo-voigt,0.2982768401945817,0.8927546640776889,0.0011432763066666666,66.96823355378586,66.96823355378586,0.0,0.0,0.00013109554868847572,0.0003273839287722066
502,0.0,0.0,0.00026522127871265533,0.00018167183900079823,pseudo-voigt,0.257456021433888,0.6038669810522562,0.0011432763066666666,-66.96823355378586,-66.96823355378586,0.0,0.0,0.00026522127871265533,0.00018167183900079823
503,0.0,0.0,0.0002696087851536502,2.99492681760812e-06,pseudo-voigt,0.2597660515347071,0.7209133172032536,0.0011432763066666666,-80.90470066135762,-80.90470066135762,0.0,0.0,0.0002696087851536502,2.99492681760812e-06
504,0.0,0.0,0.00015405073598828516,8.236461361134159e-05,pseudo-voigt,0.2671273347708512,0.7141140387471063,0.0011432763066666666,-6.968233553785836,-6.968233553785836,-0.0,0.0,0.00015405073598828516,8.236461361134159e-05
505,0.0,0.0,0.00011527756823760393,0.0002931206291422038,pseudo-voigt,0.2401467385290627,0.6406557618620916,0.0,-38.747727037131426,-38.747727037131426,-0.0,0.0,0.00011527756823760393,0.0002931206291422038
506,0.0,0.0,0.00010346142114131689,0.00016983535817439129,pseudo-voigt,0.289605557461551,0.7719106751802963,0.0,-7.0840909876228295,-7.0840909876228295,-0.0,0.0,0.00010346142114131689,0.00016983535817439129
507,0.0,0.0,0.00024488074782545174,0.0002718058370713188,pseudo-voigt,0.272449214203681,0.7699850736848692,0.0,38.747727037131426,38.747727037131426,0.0,-0.0,0.00024488074782545174,0.0002718058370713188
