MM #,m_rad,m_azi,sigma_rad,sigma_azi,distribution,alpha_azi,alpha_rad,weight,sigmax,sigmay
175,0.0,0.0,5e-08,5e-08,gaussian,0.2735141315390736,0.699303609191963,0.0,5e-08,5e-08
176,0.0,0.0,5e-08,5e-08,gaussian,0.2849049842112414,0.9068936114288917,0.0,5e-08,5e-08
177,0.0,0.0,5e-08,5e-08,gaussian,0.2518894433391807,0.7275229202813338,0.0,5e-08,5e-08
178,0.0,0.0,5e-08,5e-08,gaussian,0.3000462585081994,0.7398980285108236,0.0,5e-08,5e-08
179,0.0,0.0,5e-08,5e-08,gaussian,0.306697741434241,0.7984951178659788,0.0,5e-08,5e-08
180,0.0,0.0,5e-08,5e-08,gaussian,0.3277630558084159,0.7397061289306069,0.0,5e-08,5e-08
181,0.0,0.0,5e-08,5e-08,gaussian,0.2863656530305818,0.7591942703841055,0.0,5e-08,5e-08
182,0.0,0.0,5e-08,5e-08,gaussian,0.3255551909466199,0.781922066705546,0.0,5e-08,5e-08
183,0.0,0.0,5e-08,5e-08,gaussian,0.2633822068180074,0.7909726533838346,0.0,5e-08,5e-08
184,0.0,0.0,5e-08,5e-08,gaussian,0.3172688678519182,0.7313968471198508,0.0,5e-08,5e-08
185,0.0,0.0,5e-08,5e-08,gaussian,0.2718382018837261,0.8237445111220818,0.0,5e-08,5e-08
186,0.0,0.0,5e-08,5e-08,gaussian,0.2478778480139474,0.7418926247328917,0.0,5e-08,5e-08
187,0.0,0.0,5e-08,5e-08,gaussian,0.2846280376868199,0.5441427947965266,0.0,5e-08,5e-08
188,0.0,0.0,5e-08,5e-08,gaussian,0.3087554759038496,0.8600137324439135,0.0,5e-08,5e-08
189,0.0,0.0,5e-08,5e-08,gaussian,0.2720308531560229,0.8522794509970667,0.0,5e-08,5e-08
190,0.0,0.0,5e-08,5e-08,gaussian,0.2977588568245613,0.8034168902892246,0.0,5e-08,5e-08
191,0.0,0.0,5e-08,5e-08,gaussian,0.2840878197280211,0.8237945691375567,0.0,5e-08,5e-08
192,0.0,0.0,5e-08,5e-08,gaussian,0.3471409215198832,0.8557230020719604,0.0,5e-08,5e-08
193,0.0,0.0,5e-08,5e-08,gaussian,0.2801381927653251,0.7801670447899328,0.0,5e-08,5e-08
194,0.0,0.0,5e-08,5e-08,gaussian,0.3094918132254053,0.843796840466795,0.0,5e-08,5e-08
195,0.0,0.0,5e-08,5e-08,gaussian,0.2539104244188383,0.8751084676239227,0.0,5e-08,5e-08
196,0.0,0.0,5e-08,5e-08,gaussian,0.2592881045193118,0.743272712955057,0.0,5e-08,5e-08
197,0.0,0.0,5e-08,5e-08,gaussian,0.3480972708373919,0.5248736498503735,0.0,5e-08,5e-08
