MM #,m_rad,m_azi,sigma_rad,sigma_azi,distribution,alpha_azi,alpha_rad,weight,mux,muy,sigmax,sigmay,theta_degrees,theta_position
69,5.832337266333673e-06,-1.4477520686179395e-05,5e-08,5e-08,gaussian,0.2562147513849919,0.7441161933862971,0.0,-1.0108524833932646e-05,1.189253921115183e-05,5e-08,5e-08,18.42189065151625,18.42189065151625
70,6.30040085902018e-07,-2.4772547324861397e-05,5e-08,5e-08,gaussian,0.2431437697627142,0.8051481064532672,0.0,5.367726789595461e-06,-2.4192221075887182e-05,5e-08,5e-08,11.053134390909776,11.053134390909776
71,-5.7211330105674615e-06,8.545359188524795e-05,5e-08,5e-08,gaussian,0.3039654311403233,0.6674847181819313,0.0,-6.068322241186196e-05,-6.043669619302178e-05,5e-08,5e-08,-48.94686560909025,-48.94686560909025
72,-2.8337678416284146e-06,6.709839817450824e-05,5e-08,5e-08,gaussian,0.3213664275640817,0.9693838219716276,0.0,-4.006744733234569e-05,5.3896427915352634e-05,5e-08,5e-08,34.20935308787721,34.20935308787721
73,-6.314104353279377e-06,5.523558948216141e-05,5e-08,5e-08,gaussian,0.3607600507833251,0.6615989873569391,0.0,2.5832770272183235e-05,4.9229119830549155e-05,5e-08,5e-08,-34.20935308787719,-34.20935308787719
74,6.96259219883291e-07,-5.208932241140482e-05,5e-08,5e-08,gaussian,0.2236705236849021,0.8532426240116363,0.0,2.3646518517733213e-05,-4.641793239870829e-05,5e-08,5e-08,26.229686287521723,26.229686287521723
75,2.380682034664259e-06,-6.980482677472447e-05,5e-08,5e-08,gaussian,0.3009937418593609,0.8622055670717876,0.0,-5.2583601234456957e-05,4.597114713834188e-05,5e-08,5e-08,46.88515685623915,46.88515685623915
76,-3.0498430975636957e-06,-9.94300289119606e-05,5e-08,5e-08,gaussian,0.2868644208729223,0.8201115096431242,0.0,9.727232913381637e-05,-2.082609366241231e-05,5e-08,5e-08,79.67226471564129,79.67226471564129
77,-2.999665502439275e-06,-7.721344360894144e-05,5e-08,5e-08,gaussian,0.2655573261792257,0.810423205940342,0.0,-7.203354347229942e-05,-2.7965737642730843e-05,5e-08,5e-08,-66.55742157188041,-66.55742157188041
78,1.304744447146972e-06,-4.3839298213483475e-06,5e-08,5e-08,gaussian,0.2766978940383274,0.8165100176594445,0.0,-2.7442944389812573e-06,-3.6592412851634636e-06,5e-08,5e-08,-53.44257842811956,-53.44257842811956
79,2.2110398760301e-06,5.5458312952906994e-05,5e-08,5e-08,gaussian,0.2791065450700332,0.8950485915361436,0.0,-3.266531131969066e-05,-4.48719356536316e-05,5e-08,5e-08,-33.7703137124783,-33.7703137124783
80,-4.126025794539042e-06,0.00010406362252327486,5e-08,5e-08,gaussian,0.2864624319089646,0.8593895477670251,0.0,9.837889933173556e-05,3.4173875808870135e-05,5e-08,5e-08,-73.11484314376085,-73.11484314376085
81,-2.556802185758415e-06,0.000122721861619031,5e-08,5e-08,gaussian,0.3292054467154034,0.6497066162866663,0.0,0.00012027518779198515,2.451676484082672e-05,5e-08,5e-08,-79.67226471564126,-79.67226471564126
