MM #,m_rad,m_azi,sigma_rad,sigma_azi,distribution,alpha_azi,alpha_rad,weight,mux,muy,sigmax,sigmay
357,2.5798603461975798e-06,7.948673248793481e-05,5e-08,5e-08,gaussian,0.3067356754363124,0.6869001127038709,0.0,2.0596954721441634e-05,-8.109466135470476e-05,5e-08,5e-08
358,7.826448429623783e-06,5.0450050533189236e-06,5e-08,5e-08,gaussian,0.3059033773971397,0.8150808854536383,0.0,7.13419975296247e-07,1.4209534203257641e-05,5e-08,5e-08
359,8.71585595019677e-06,-5.911883975392612e-05,5e-08,5e-08,gaussian,0.2739570856757781,0.8390835856767407,0.0,-7.771872173459959e-05,-1.1352854265434313e-05,5e-08,5e-08
360,3.328090269369043e-06,-3.651005690492359e-05,5e-08,5e-08,gaussian,0.2959686704712703,0.6740896680445457,0.0,-7.945391266046839e-05,-3.887140379477893e-05,5e-08,5e-08
361,-7.319891652638332e-06,-2.4478817642238914e-05,5e-08,5e-08,gaussian,0.2970321488889326,0.6185114433272828,0.0,-5.8534853045924574e-05,6.1441416204336054e-06,5e-08,5e-08
362,-1.34962792247331e-06,1.1868180335081746e-05,5e-08,5e-08,gaussian,0.2794233404381797,0.8551731682168796,0.0,-3.4590550001647205e-05,-1.8918459452533827e-05,5e-08,5e-08
363,9.550865631908128e-07,5.419969376738631e-05,5e-08,5e-08,gaussian,0.254418208325577,0.7529624318863993,0.0,8.323705327400276e-06,-3.486284264294037e-05,5e-08,5e-08
364,4.311089013649796e-06,0.0001401169422904073,5e-08,5e-08,gaussian,0.2516209536858266,0.7958589477511356,0.0,8.108103058657619e-05,-9.702766058914026e-05,5e-08,5e-08
365,-7.624765290365166e-06,1.2782667355565788e-05,5e-08,5e-08,gaussian,0.2655191360623254,0.8384949495503539,0.0,5.272636744799888e-06,-6.590779320422219e-06,5e-08,5e-08
366,-4.7752706978644155e-06,-8.265232901109583e-05,5e-08,5e-08,gaussian,0.3111253891910411,0.7613955197442552,0.0,-9.926736284467471e-05,-0.0001402506620815832,5e-08,5e-08
367,3.099970812642128e-06,-3.685554445155145e-05,5e-08,5e-08,gaussian,0.3039561291887625,0.6753163412115403,0.0,-5.558945580016107e-05,-1.3881309536383204e-05,5e-08,5e-08
368,4.471681677614604e-08,-0.00012118435286940133,5e-08,5e-08,gaussian,0.3624070371383578,0.9173621875476876,0.0,-0.00012576225795333645,9.195340465814225e-05,5e-08,5e-08
369,3.066458246731159e-06,-2.3226221324673538e-05,5e-08,5e-08,gaussian,0.2814706047626777,0.8025650496215885,0.0,1.2695888261377246e-05,0.0001527798489523506,5e-08,5e-08
370,-1.951310583691983e-06,-3.218685826729521e-06,5e-08,5e-08,gaussian,0.277628714200038,0.7218499360757368,0.0,-7.805331343824046e-07,6.326475015064596e-05,5e-08,5e-08
371,-3.340446281371789e-06,8.869705688139035e-05,5e-08,5e-08,gaussian,0.2820919062931679,0.8471206067346744,0.0,3.3299274789977354e-05,-5.599776196804588e-05,5e-08,5e-08
372,-4.583636817716747e-06,8.418699730720112e-05,5e-08,5e-08,gaussian,0.2950750949061619,0.7582726056197685,0.0,1.1110424098669913e-05,-8.379522746318858e-05,5e-08,5e-08
373,1.7008738267954239e-06,-7.02053627046898e-06,5e-08,5e-08,gaussian,0.2881986776403099,0.8857753638451222,0.0,-2.3697580180881575e-05,-1.208886947483946e-06,5e-08,5e-08
374,-9.726016523311523e-07,-3.358868415780094e-05,5e-08,5e-08,gaussian,0.3206920476726191,0.8331007908365635,0.0,-4.5834226693132224e-05,-8.273435101399888e-05,5e-08,5e-08
375,-1.0397664713431161e-06,-0.00011041338831300475,5e-08,5e-08,gaussian,0.3111172721163229,0.7802350613016463,0.0,-0.00010727905032224434,9.528037032866691e-05,5e-08,5e-08
376,-4.6680604364293795e-07,-0.00013391847696414148,5e-08,5e-08,gaussian,0.2951748999731121,0.7971477837034938,0.0,-0.00012240028619779687,0.00013446974807098988,5e-08,5e-08
377,-9.041683515972175e-06,-5.467465121370664e-05,5e-08,5e-08,gaussian,0.2660668959840334,0.681475805775246,0.0,-0.00010683018513749251,-2.9508628184536902e-05,5e-08,5e-08
378,3.532376738180421e-06,1.2415225167720768e-05,5e-08,5e-08,gaussian,0.2934124669374865,0.7083835406056793,0.0,-3.227339202234001e-05,-1.2685854349142428e-05,5e-08,5e-08
379,9.155476205779534e-06,9.147876999382954e-05,5e-08,5e-08,gaussian,0.2562137105493205,0.8557884227417369,0.0,8.277572364073175e-05,9.900599929507124e-06,5e-08,5e-08
380,-4.774536276573999e-06,4.855532229737139e-05,5e-08,5e-08,gaussian,0.2848436384872631,0.8436554724550931,0.0,-2.932359239924557e-05,-6.982394361226791e-05,5e-08,5e-08
381,-3.643322305793939e-06,6.515807322885643e-05,5e-08,5e-08,gaussian,0.3614353093571528,0.8806406168867746,0.0,6.956704573315436e-05,-1.1122386020032287e-05,5e-08,5e-08
382,5.243247978925913e-07,4.2566334879237234e-05,5e-08,5e-08,gaussian,0.3560803872573801,0.6280112887756453,0.0,-3.084880621708306e-05,-6.474575342461805e-05,5e-08,5e-08
383,-2.9347788084673467e-06,2.0463354178575835e-05,5e-08,5e-08,gaussian,0.2798477359973435,0.6924115343642369,0.0,2.3234160113715165e-05,-2.470728631916146e-05,5e-08,5e-08
384,-9.50902425588533e-07,-5.9832684560704745e-05,5e-08,5e-08,gaussian,0.3294263895630846,0.6526602424982154,0.0,-6.58748156787534e-05,-3.142688330057818e-05,5e-08,5e-08
385,-1.786022545053608e-09,-0.00010765193877703521,5e-08,5e-08,gaussian,0.2416257438851099,0.8336759238150793,0.0,-0.000142826273685394,-5.9461767879127334e-05,5e-08,5e-08
386,-7.77637858454102e-06,-5.548423019646868e-05,5e-08,5e-08,gaussian,0.3216330733445664,0.7778153048080313,0.0,-0.00013371756098970385,-0.00010010177797358805,5e-08,5e-08
387,2.513333555224357e-06,-4.5863266205947264e-05,5e-08,5e-08,gaussian,0.2644101368582981,0.7006345733127889,0.0,-0.00012610598090324814,-5.991924561312628e-05,5e-08,5e-08
388,1.779852612674745e-06,6.996096693089061e-05,5e-08,5e-08,gaussian,0.2921722398351899,0.7768873596104555,0.0,7.401975995298534e-05,2.7895298758694517e-05,5e-08,5e-08
