MM #,m_rad,m_azi,sigma_rad,sigma_azi,distribution,alpha_azi,alpha_rad,weight,sigmax,sigmay,theta_degrees,theta_position,mux,muy
63,0.0,0.0,5e-08,5e-08,gaussian,0.2587459073215618,0.9544660876082602,0.0,5e-08,5e-08,-63.67959868841456,-63.67959868841456,0.0,0.0
64,0.0,0.0,5e-08,5e-08,gaussian,0.3186341386781596,0.751272503255551,0.0,5e-08,5e-08,-48.961203934756355,-48.961203934756355,-0.0,0.0
65,0.0,0.0,5e-08,5e-08,gaussian,0.307395470925367,0.823914407432985,0.0,5e-08,5e-08,-85.75719081890185,-85.75719081890185,0.0,0.0
66,0.0,0.0,5e-08,5e-08,gaussian,0.3015660653507908,0.7987206180604955,0.0,5e-08,5e-08,-34.20935308787722,-34.20935308787722,-0.0,0.0
67,0.0,0.0,5e-08,5e-08,gaussian,0.310718945831125,0.7638297014278899,0.0,5e-08,5e-08,-71.05313439090978,-71.05313439090978,0.0,0.0
68,0.0,0.0,5e-08,5e-08,gaussian,0.2776729361158065,0.5631398710210814,0.0,5e-08,5e-08,-56.31562186969674,-56.31562186969674,0.0,0.0
69,0.0,0.0,5e-08,5e-08,gaussian,0.2562147513849919,0.7441161933862971,0.0,5e-08,5e-08,25.79064691212278,25.79064691212278,0.0,0.0
70,0.0,0.0,5e-08,5e-08,gaussian,0.2431437697627142,0.8051481064532672,0.0,5e-08,5e-08,18.42189065151628,18.42189065151628,0.0,0.0
71,0.0,0.0,5e-08,5e-08,gaussian,0.3039654311403233,0.6674847181819313,0.0,5e-08,5e-08,-18.42189065151632,-18.42189065151632,-0.0,0.0
72,0.0,0.0,5e-08,5e-08,gaussian,0.3213664275640817,0.9693838219716276,0.0,5e-08,5e-08,18.42189065151625,18.42189065151625,0.0,-0.0
73,0.0,0.0,5e-08,5e-08,gaussian,0.3607600507833251,0.6615989873569391,0.0,5e-08,5e-08,-41.578109348483736,-41.578109348483736,0.0,0.0
74,0.0,0.0,5e-08,5e-08,gaussian,0.2236705236849021,0.8532426240116363,0.0,5e-08,5e-08,-19.672264715641276,-19.672264715641276,-0.0,0.0
