MM #,mux_in,muy_in,mux_fin,muy_fin,mux_changed,muy_changed,mux_zeroed,muy_zeroed
254,8.099898461213263e-05,-0.0001270173904255,0.0,0.0,True,True,True,True
255,4.066612651071369e-05,4.28056713238166e-05,0.0,0.0,True,True,True,True
256,8.489147544319139e-05,0.000108305522977,0.0,0.0,True,True,True,True
257,1.994775993506964e-05,7.83766398946631e-05,-0.0,0.0,True,True,True,True
258,-6.425290933371082e-05,-6.016109796177962e-05,0.0,0.0,True,True,True,True
259,-3.102154210492013e-05,-5.13067998399659e-05,0.0,0.0,True,True,True,True
260,-0.0001279214000683,-3.4578709410783386e-05,0.0,-0.0,True,True,True,True
261,-0.0001116639749798,4.114025589076851e-05,0.0,-0.0,True,True,True,True
262,-6.332863910487796e-05,8.034480635758964e-05,0.0,0.0,True,True,True,True
263,1.1195230188826197e-05,3.588700516680339e-05,0.0,0.0,True,True,True,True
264,7.793999327305636e-05,-3.742820854629469e-05,0.0,0.0,True,True,True,True
265,1.7646335530476528e-05,-4.373586569751324e-05,0.0,0.0,True,True,True,True
266,-3.288498490821751e-05,3.515086648385312e-05,0.0,0.0,True,True,True,True
267,-1.6887079064245076e-05,-0.000154407736614,0.0,0.0,True,True,True,True
268,-7.533984436598763e-05,-5.2339228995741126e-05,0.0,0.0,True,True,True,True
269,2.1770393277758077e-05,1.0766272225178284e-05,-0.0,0.0,True,True,True,True
270,3.024031729341295e-05,-0.0001270728025212,-0.0,0.0,True,True,True,True
271,8.905987396504903e-05,-5.631194685363823e-05,0.0,-0.0,True,True,True,True
272,4.0567531142041746e-05,0.0001505347327348,-0.0,0.0,True,True,True,True
273,6.314097770317636e-05,-5.361460435445769e-05,-0.0,0.0,True,True,True,True
274,-6.723377437677066e-05,-4.558407980267231e-06,0.0,0.0,True,True,True,True
275,-3.906178975178869e-05,-9.432102323676576e-05,-0.0,0.0,True,True,True,True
276,-0.0001068588377863,-9.091846553522116e-05,-0.0,0.0,True,True,True,True
277,-0.0001167067280861,3.64871931969871e-05,-0.0,0.0,True,True,True,True
278,-3.8859061883962786e-05,2.4721138804555736e-05,-0.0,0.0,True,True,True,True
279,5.311059927544181e-05,1.267760075022422e-05,0.0,0.0,True,True,True,True
280,5.727729987980263e-05,-9.7529943873708e-06,0.0,0.0,True,True,True,True
281,6.787904435805651e-05,4.437305598046941e-06,0.0,-0.0,True,True,True,True
282,1.7063479397652434e-05,-3.269181082569413e-05,0.0,0.0,True,True,True,True
283,-1.3748339516831336e-05,-8.884922203946588e-06,0.0,0.0,True,True,True,True
284,-9.436034929586602e-05,-0.0001022462337469,-0.0,0.0,True,True,True,True
285,-1.7858680782109683e-06,-0.0001074608034765,-0.0,0.0,True,True,True,True
286,-8.677469573455282e-05,-1.5343226019480955e-05,0.0,0.0,True,True,True,True
287,6.7595337960074205e-06,1.4008575497525943e-05,0.0,-0.0,True,True,True,True
288,0.0001247881034191,-1.1622690862903064e-05,0.0,0.0,True,True,True,True
289,0.000130716321754,1.747494803177654e-05,0.0,0.0,True,True,True,True
290,0.0001183487001843,4.67868008492375e-06,-0.0,0.0,True,True,True,True
